"X","rouge1_precision","rouge2_precision","rougeL_precision","rouge1_recall","rouge2_recall","rougeL_recall","rouge1_fmeasure","rouge2_fmeasure","rougeL_fmeasure","fkre","fkgl","fogi","smog","cole","auto","t_word","t_stopword","t_punct","t_syll","t_syll2","t_syll3","t_uword","t_sent","t_char","t_kup","t_bry","t_subtlex_us_zipf","t_n_ent_law","summary_generated"
0,0.716346153846154,0.429951690821256,0.466346153846154,0.476038338658147,0.28525641025641,0.309904153354633,0.571976967370442,0.342967244701349,0.37236084452975,36.141,13.96,19.629,9.71,14.694,15.578,250,79,42,362,54,26,110,9,1166,830.66,712.949,964.206,0,"Amends the Water Resources Development Act of 1992 to authorize appropriations for projects for the elimination or control of combined sewer overflows in: (1) Jackson County, Mississippi; (2) Manchester, New Hampshire; (3) Atlanta, Georgia; (4) Paterson, Passaic County, and Passaic Valley, New Jersey; (5) Elizabeth and North Hudson, New Jersey; and (6) the Delaware River, Pennsylvania and Delaware. Prohibits construction on a project authorized to be carried out by the Secretary of the Army until the Secretary determines that the project is technically sound, environmentally acceptable, and economically justified. <n>(Sec. 4) Repeals a provision prohibiting construction on a project authorized to be carried out by the Secretary until the Secretary determines that the project is technically sound, environmentally acceptable, and economically justified. <n>(Sec. 5) Requires a project cooperation agreement for the Comite River Diversion Project to include a provision that specifies that any reduction in the non-Federal share that results from the modification of the project shall be credited toward the share of project costs to be paid by the Amite River Basin Drainage and Water Conservation District. <n>(Sec. 7) Authorizes appropriations for a project for which a District Engineer's Report is completed by the date of enactment of this Act. <n>(Sec"
1,0.174358974358974,0.0670103092783505,0.138461538461538,0.755555555555556,0.295454545454545,0.6,0.283333333333333,0.109243697478992,0.225,-0.36,29.789,39.197,14.75,13.006,35.168,279,43,80,329,63,20,111,3,1070,361.78,305.451,855.368,3,"Federal Forage Fee Act of 1993 - Makes all grazing operations conducted on Federal lands subject to all applicable Federal, State, and local laws, including, but not limited to: (1) Animal Damage Control Act; (2) the Clean Air Act; (3) the Endangered Species Act; (4) the Federal Advisory Committee Act; (5) the Federal Grant and Cooperative Agreement Act; (6) the National Forest Management Act of 1976; (7) the Federal Land Policy and Management Act of 1976; (8) the Federal Water Pollution Control Act; (9) the Granger-Thye Wilderness Act; (10) the Independent Offices Appropriations Act of 1952; (11) the National Environmental Policy Act of 1969; and (12) the Public Rangeland Improvement Act. <n>Amends the: (1) Western States' Update Act of 1973 to set forth the fee schedule for grazing operations in Arizona, California, Colorado, Idaho, Kansas, Montana, Nebraska, Nevada, New Mexico, North Dakota, Oklahoma, Oregon, South Dakota, Utah, Washington, and Wyoming; and (2) Federal Land Policy and Management Act of 1976 to set forth the fee schedule for livestock grazing on Federal lands in Arizona, California, Colorado, Idaho, Kansas, Montana, Nebraska, Nevada, New Mexico, North Dakota, Oklahoma, Oregon, South Dakota, Utah, Washington, and Wyoming. <n>"
2,0.927536231884058,0.808823529411765,0.927536231884058,0.719101123595506,0.625,0.719101123595506,0.810126582278481,0.705128205128205,0.810126582278481,71.107,6.72,8.969,5.713,9.435,7.327,77,24,9,98,6,5,47,5,326,204.26,163.548,342.744,0,". Merchant Marine of World War II Congressional Gold Medal Act (Sec. 3) This bill directs the Speaker of the House of Representatives and the President pro tempore of the Senate to award a Congressional Gold Medal to the U.S. Merchant Marine in honor of their dedicated and vital service during World War II. (Sec. 4) The medal shall be given to the American Merchant Marine Museum for display."
3,0.45679012345679,0.2625,0.395061728395062,0.4625,0.265822784810127,0.4,0.459627329192547,0.264150943396226,0.397515527950311,35.881,13.285,18.47,8.569,13.372,13.234,96,33,15,144,21,9,62,4,437,424.3,333.372,399.316,0,"Small Business Tax Modernization Act of 2004 - Amends the Internal Revenue Code to prohibit any new S corporation elections after December 31, 2004. Terminates S corporation status after 2014. Allows an eligible corporation to elect to be treated as a partnership. Defines partnership"" to include a syndicate, group, pool, joint venture, or other unincorporated organization through or by means of which any business, financial operation, or venture is carried on, and which is not a trust or estate or a corporation."""
4,0.73125,0.389937106918239,0.4375,0.585,0.311557788944724,0.35,0.65,0.346368715083799,0.388888888888889,33.305,15.239,20.667,9.895,14.438,17.014,183,70,23,277,40,18,89,6,878,876.63,733.689,791.056,0,". Fair Access to Investment Research Act of 2016 (Sec. 2) This bill directs the Securities and Exchange Commission (SEC) to establish and implement a safe harbor"" for certain investment fund research reports published by brokers and dealers. Such reports shall be deemed not to be ""offers"" under specified provisions of securities law, even if the broker or dealer participates in the registered offering of the investment fund\\'s securities. In implementing the safe harbor, the SEC must prohibit a self-regulatory organization from maintaining or enforcing a rule that would prevent a member from: (1) publishing or distributing a covered investment fund research report solely because the member is also participating in a registered offering or other distribution of the fund\\'s securities, or (2) participating in a registered offering or other distribution of the fund solely because the member has published a research report about it. The bill restricts the SEC from conditioning the safe harbor upon specified requirements."""
5,0.728155339805825,0.61764705882353,0.621359223300971,0.961538461538462,0.818181818181818,0.82051282051282,0.828729281767956,0.70391061452514,0.707182320441989,33.177,17.161,21.889,9.329,14.508,20.704,114,38,11,169,21,8,66,3,557,568.13,479.4,503.708,0,"Prescription Drug Monitoring Act of 2016 This bill requires a state that receives grant funds under the prescription drug monitoring program (PDMP) or the controlled substance monitoring program to comply with specified requirements, including a requirement to make its PDMP data available to other states through a data-sharing single technology solution. The Department of Justice (DOJ) or Department of Health and Human Services may withhold grant funds from a state that fails to comply. To facilitate data sharing among states, the bill directs DOJ to award a grant under the PDMP competitive grant program to establish and maintain a data-sharing hub."
6,0.506410256410256,0.329032258064516,0.378205128205128,0.731481481481482,0.476635514018692,0.546296296296296,0.598484848484849,0.389312977099237,0.446969696969697,-16.236,34.529,42.103,15.115,15.288,42.032,180,64,27,263,44,14,86,2,846,646.91,516.167,744.22,0,"Strategic Gasoline and Fuel Reserve Act of 2005 - Amends the Energy Policy and Conservation Act to direct the Secretary of Energy to establish, maintain, and operate a Strategic Gasoline and Fuel Reserve (the Reserve). Prohibits the Reserve from being a component of the Strategic Petroleum Reserve.<n><n>Requires the Secretary to determine not less than three Reserve sites, and not more than five Reserve sites, throughout the United States that are regionally strategic.<n><n>Instructs the Secretary to obtain the concurrence of the Secretary of Homeland Security with respect to physical design and operational security.<n><n>Authorizes the Secretary to: (1) acquire storage and related facilities and storage services; (2) use, lease, maintain, sell, or otherwise dispose of storage and related facilities acquired under this Act; (3) store gasoline and fuel in facilities not owned by the United States; and (4) sell, exchange, or otherwise dispose of gasoline and fuel from the Reserve."
7,0.345291479820628,0.175675675675676,0.233183856502242,0.538461538461538,0.274647887323944,0.363636363636364,0.420765027322404,0.214285714285714,0.284153005464481,-9.88,32.855,41.697,11.892,12.555,38.273,259,95,39,370,68,13,99,3,1115,967.85,878.306,1058.988,0,"(This measure has not been amended since it was introduced in the House on October 6, 2003. However, because action occurred on the measure, the summary has been expanded.)Special Agent Scott K. Carey Public Safety Officer Benefits Enhancement Act - Amends the Omnibus Crime Control and Safe Streets Act of 1968 (Omnibus Act) to make an eligible dependent of a Federal, State, county, or local public safety officer who dies in the line of duty on or after January 1, 1978, or who becomes permanently and totally disabled as the direct result of a catastrophic injury sustained in the line of duty on or after January 1, 1978, eligible for assistance under the public safety officers' disability benefits program.(Sec. 102) Revises application requirements for the public safety officers' disability benefits program to make eligible for assistance an eligible dependent (currently, a dependent of the officer) who: (1) dies in the line of duty on or after January 1, 1978; or (2) becomes permanently and totally disabled as the direct result of a catastrophic injury sustained in the line of duty on or after January 1, 1978.(Sec. 103) Makes an eligible dependent eligible for assistance retroactively if such an officer: (1) dies in the line of duty on or after January 1, 1978; or (2) becomes permanently and totally disabled as the"
8,0.777777777777778,0.415730337078652,0.533333333333333,0.469798657718121,0.25,0.322147651006711,0.585774058577406,0.312236286919831,0.401673640167364,9.318,22.89,29.418,13.993,13.729,24.762,100,41,12,159,26,12,65,2,464,443.46,335.69,444.267,0,"Promoting Financial Literacy and Economic Opportunity Act of 2015 Amends the Internal Revenue Code to allow a business-related tax credit for 50% of the amount paid or incurred for the promotion of economic and financial literacy by eligible for profit organizations pursuant to a qualified program. Defines &quot;eligible for profit organization&quot; as a organization that: (1) has a qualified program in effect for the taxable year, and (2) has been determined by the Secretary of the Treasury to be an organization to whom the credit is allowed."
9,0.891509433962264,0.691943127962085,0.740566037735849,0.642857142857143,0.498293515358362,0.534013605442177,0.74703557312253,0.579365079365079,0.620553359683794,-34.431,44.022,50.221,14.565,12.613,53.807,231,100,22,334,44,13,108,2,1042,1146.82,919.002,1083.628,2,"Amends the Tariff Act of 1930 to prohibit the entry of cigarettes or smokeless tobacco products into the United States in connection with a delivery sale. Defines delivery sale"" as any sale of cigarettes or smokeless tobacco products to a consumer if: (1) the consumer submits the order for such sale by means of a telephone, other method of voice transmission, the mail, or the Internet or other online service, or the seller is otherwise not in the physical presence of the buyer when the request for purchase or order is made; or (2) the cigarettes or smokeless tobacco product is delivered by use of a common carrier, private delivery service, or the mail, or the seller is not in the physical presence of the buyer when the buyer obtains personal possession of the delivered cigarettes or smokeless tobacco product.<n><n>Entitles a state, through its Attorney General, to obtain copies of any certification required by the United States for the importation of such products in connection with a delivery sale.<n><n>Authorizes persons who hold a permit under the Internal Revenue Code to bring actions in U.S. district courts against any person, other than a state, local, or tribal government to prevent and restrain violations of this Act."""
